Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
86,0.216948722,0.19274422,0.194994641,0.188180835,0.194652356,0.176351067,0.20524616,0.216598156,0.202531094,0.207847992,0.245084521,0.239031268,0.232102785,0.198473865,0.226419315,0.192270611,0.207913673,0.223420224,0.203116568,0.212276769,0.219690368,0.204992674,0.224124387,0.20335327,0.241420378,0.194996664,0.220545291,0.220355822,0.22327959,0.197896504,0.19697626,0.208932168,0.211816624,0.191574596,0.210177099,0.226018532
87,0.231907218,0.205750589,0.208179032,0.200828347,0.207809625,0.188081435,0.225357925,0.233714725,0.221519839,0.22616728,0.265478452,0.257786679,0.250064761,0.215280645,0.251222898,0.211580586,0.224394581,0.239488421,0.220880969,0.226196241,0.239343241,0.219928812,0.244610387,0.2189619,0.263331086,0.208915341,0.236724101,0.234644332,0.24222704,0.216048285,0.213487921,0.222435063,0.230687675,0.208067969,0.228445251,0.246385655
88,0.24777515,0.219542178,0.222159903,0.214238428,0.221761657,0.200516733,0.240753401,0.246207088,0.24092915,0.247391511,0.279695019,0.273779313,0.26064515,0.233671021,0.271572878,0.231091887,0.235145243,0.252219526,0.242561096,0.241103824,0.254706023,0.240121397,0.260319348,0.234554129,0.282508244,0.218223431,0.255826499,0.252258003,0.25805658,0.232052712,0.23494233,0.235020257,0.249317997,0.220040059,0.245300898,0.268647975
89,0.264592171,0.234154653,0.236973297,0.228445967,0.236544439,0.213689816,0.247590518,0.258447039,0.263395713,0.263609863,0.294913746,0.293391175,0.277274779,0.258126144,0.285372724,0.240181594,0.249787135,0.270823222,0.261916616,0.269411241,0.272545992,0.257973365,0.275797873,0.251187561,0.300181603,0.233137175,0.27317254,0.273141326,0.274070629,0.248976944,0.257113789,0.256394355,0.269472643,0.236559433,0.263572729,0.292695658
90,0.282397787,0.24962389,0.252655441,0.243486123,0.252194144,0.227633933,0.253608195,0.263787416,0.273623866,0.273208838,0.309520806,0.30533098,0.293034791,0.273391132,0.299231949,0.244558206,0.266940178,0.291970748,0.261665942,0.293562771,0.289079718,0.268782565,0.288692035,0.264901314,0.314955469,0.255713259,0.28290796,0.289538123,0.293345903,0.260877819,0.272491709,0.279421403,0.287560829,0.258222063,0.283465584,0.30968218
91,0.301231114,0.265985803,0.269242567,0.259394157,0.268746956,0.242382587,0.274198276,0.276842746,0.280646098,0.286928599,0.325561341,0.312535701,0.305847249,0.281261924,0.318533359,0.257481625,0.284119758,0.300960774,0.262188366,0.298679269,0.29997127,0.279923957,0.303538499,0.284839708,0.334240445,0.27453294,0.297630321,0.304387844,0.311142355,0.268820057,0.287456691,0.297980846,0.307694288,0.277731211,0.301497548,0.319977667
92,0.321130622,0.283276152,0.28677071,0.276205255,0.286238869,0.25796939,0.301972112,0.307944985,0.303730228,0.319154576,0.355767326,0.345152852,0.332349853,0.28972895,0.346677035,0.281438505,0.308011697,0.314084867,0.293319483,0.312389029,0.323243025,0.299213038,0.330062044,0.315002057,0.360053323,0.301693031,0.324293517,0.327909686,0.331966442,0.291534047,0.307783642,0.321665092,0.338803465,0.297719773,0.322990864,0.354369909
93,0.342133865,0.301530339,0.305275501,0.293954333,0.304705479,0.274427894,0.322957031,0.328063086,0.327824877,0.35349243,0.37824988,0.381578805,0.363513105,0.295556365,0.363708615,0.30897637,0.324603054,0.352028676,0.326860916,0.345042381,0.355775926,0.318890147,0.353890941,0.333413377,0.394712302,0.327199905,0.349943564,0.350680161,0.36145978,0.317488874,0.329339313,0.357479569,0.381263631,0.315300067,0.354544565,0.404127447
94,0.364277202,0.320783188,0.324791945,0.312675834,0.324181764,0.291791416,0.333878778,0.351858201,0.345309857,0.373100056,0.394549293,0.395775522,0.392449478,0.309688756,0.391947243,0.324095981,0.341971286,0.387667306,0.341032004,0.380572071,0.386609083,0.334307513,0.364885379,0.348586419,0.437903534,0.341029247,0.377686984,0.370588049,0.386093559,0.338970332,0.358666249,0.390401549,0.430311499,0.328945277,0.389666206,0.44096285
95,0.387595508,0.341068719,0.345354181,0.332403504,0.344701845,0.310092846,0.342969922,0.399873001,0.347589512,0.392953774,0.435054559,0.418579665,0.419867348,0.345229284,0.4335404,0.34232317,0.38068183,0.412118082,0.343236239,0.405615221,0.420415361,0.357598967,0.385698041,0.363621297,0.474492144,0.376104785,0.401775342,0.396962489,0.402583274,0.368710273,0.38772159,0.41233207,0.452169005,0.342315196,0.425329176,0.479683897
96,0.412121883,0.362419906,0.366995243,0.353170169,0.366298748,0.32936445,0.380608898,0.436869039,0.348512156,0.411695658,0.476781423,0.465295199,0.461860283,0.395842592,0.435351118,0.391544775,0.408186198,0.452345787,0.374530375,0.421655825,0.447372448,0.385857189,0.418710335,0.368714651,0.496818114,0.405845704,0.416807769,0.427494074,0.423498458,0.386951242,0.411667823,0.444352501,0.441537982,0.373780141,0.460373911,0.51983067
97,0.437887365,0.384868436,0.389746811,0.375007501,0.389004155,0.349637658,0.425968264,0.439849739,0.370868378,0.415245083,0.505778825,0.546476065,0.510961841,0.440502773,0.477755606,0.431409352,0.411626097,0.516725095,0.443787494,0.449824685,0.464907322,0.43353071,0.444694768,0.410845719,0.512351573,0.423353931,0.45402688,0.473352435,0.452909196,0.401544233,0.444766136,0.495760209,0.451111998,0.433096415,0.49123238,0.548847316
98,0.464920643,0.408444462,0.413638959,0.397945775,0.412848152,0.370942848,0.483482241,0.425373392,0.456181272,0.432564412,0.549373028,0.594659544,0.506080431,0.499264801,0.590911574,0.425418096,0.467088082,0.574924571,0.494913839,0.478556371,0.501032534,0.472033189,0.483157605,0.496592432,0.554912103,0.470708616,0.492309214,0.499563442,0.490206337,0.453255772,0.524216104,0.538484828,0.501629725,0.46217906,0.543221978,0.564931395
99,0.493247789,0.433176358,0.438699909,0.422013637,0.437858985,0.393309131,0.517324285,0.446483445,0.527311732,0.526642697,0.598192036,0.564020693,0.520795796,0.566118658,0.651948786,0.434372985,0.513996932,0.545704381,0.531879033,0.502441734,0.583658159,0.483646406,0.489280079,0.580443814,0.597221311,0.458617823,0.531454559,0.527104091,0.555849305,0.530375758,0.556464194,0.538484828,0.554500687,0.457773314,0.598580642,0.555469675
100,0.522891999,0.459090476,0.464955784,0.44723786,0.464062814,0.416764125,0.495669566,0.505358948,0.469100695,0.648695418,0.566898799,0.633515854,0.565065393,0.549866173,0.66145946,0.450335554,0.401982806,0.476618868,0.576235985,0.489657199,0.646767035,0.515466003,0.473503508,0.596963257,0.638094917,0.333112782,0.541419327,0.631833996,0.662089685,0.566847552,0.512450319,0.571486668,0.609560464,0.569533225,0.601209685,0.608581182
